,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,car,because
11,12,mettre,to put
12,13,eux,them
13,14,ville,city
14,15,chaque,each
15,16,parlé,speak
16,17,arrivé,come
17,18,devrait,should
18,19,bébé,baby
19,20,longtemps,long time
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
23,24,revoir,meet again
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,32,voici,here is
32,33,pourrais,could
33,34,affaire,case
34,35,donner,give
35,36,type,type
36,37,leurs,their
37,38,donné,given
38,39,train,train
39,40,corps,body
40,41,endroit,place
41,42,yeux,eyes
42,43,façon,way
43,44,écoute,listen
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,tiens,here
54,55,matin,morning
55,56,tellement,so much
56,57,enfant,child
57,58,point,point
58,59,venu,came
59,60,suite,after
60,61,pardon,sorry
61,62,venez,come
62,63,devant,in front of
63,64,vers,towards
64,65,minutes,minutes
65,66,demandé,request
66,67,chambre,bedroom
67,68,mis,placed
68,69,droit,law
69,70,aimerais,would like to
70,71,aujourd'hui,today
71,72,mari,husband
72,73,cause,cause
73,74,enfin,finally
74,75,espère,hope
75,76,eau,water
76,77,parti,left
77,78,nouvelle,new
78,79,boulot,job
79,80,arrêter,Stop
80,81,dirait,would say
81,82,compte,account
82,83,loin,far
83,84,fin,end
84,85,croire,believe
85,86,chérie,sweetheart
86,87,gros,large
87,88,plutôt,rather
88,89,aura,will have
89,90,filles,girls
90,91,jouer,to play
91,92,bureau,office
